Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
01-01-2018,91662,94944,"{53625, 14837}","{85014, 21750, 31212, 54707, 54690, 54681}","{8994, 2816, 1042, 9743}","{8627, 5371, 3803, 9759, 2067, 8743}","{015, 677, 702}","{29, 32, 58, 36}"
02-01-2018,84631,03488,"{76434, 98861}","{47491, 67935, 38046, 55041, 93831, 25159}","{9998, 1217, 3188, 0786}","{8991, 2987, 4201, 0651, 5263, 2935}","{983, 806, 776}","{21, 71, 91, 40}"
03-01-2018,11717,99088,"{03178, 65789}","{74050, 56257, 98629, 31104, 38574, 57589}","{9474, 0522, 1505, 1608}","{9928, 4618, 4896, 1660, 9299, 3062}","{360, 656, 556}","{81, 72, 64, 23}"
04-01-2018,62274,80320,"{35513, 91291}","{42901, 12478, 43936, 95254, 32614, 56914}","{5295, 8197, 4181, 2833}","{2871, 1165, 1520, 5752, 2424, 2550}","{479, 833, 249}","{37, 53, 41, 28}"
05-01-2018,18105,35622,"{06473, 02567}","{41070, 62410, 16437, 44262, 24168, 84451}","{5810, 5166, 6708, 2414}","{5891, 7896, 9893, 1571, 1757, 6642}","{506, 423, 716}","{63, 83, 99, 47}"
06-01-2018,15589,95113,"{13163, 64626}","{08026, 86526, 03469, 28177, 63013, 56266}","{3610, 0096, 8283, 6875}","{6753, 9910, 8371, 1978, 3541, 6993}","{079, 337, 470}","{48, 96, 76, 32}"
07-01-2018,13957,71291,"{43584, 94421}","{56877, 88880, 15970, 56482, 53768, 52763}","{0280, 7793, 5600, 8222}","{7849, 8392, 2153, 7150, 9946, 1763}","{689, 904, 820}","{42, 29, 08, 78}"
08-01-2018,79708,95955,"{13054, 85850}","{70232, 52809, 50542, 00493, 24973, 06079}","{7310, 8360, 7553, 4681}","{2390, 1907, 6737, 5248, 9032, 3108}","{117, 693, 213}","{85, 63, 53, 36}"
09-01-2018,81062,24766,"{66584, 98350}","{33380, 39520, 84217, 69896, 07823, 16027}","{9667, 4588, 3930, 4095}","{5289, 1345, 2699, 6564, 6187, 4561}","{139, 073, 362}","{59, 64, 70, 01}"
10-01-2018,94944,30400,"{49284, 16733}","{26814, 61980, 13420, 97997, 77837, 35282}","{9476, 0548, 2413, 3274}","{1350, 3056, 8620, 5084, 2459, 7033}","{988, 433, 810}","{72, 04, 48, 45}"
11-01-2018,88149,20508,"{61872, 45785}","{71055, 20120, 24052, 34290, 85185, 24538}","{0120, 1273, 4303, 6274}","{7176, 9839, 5585, 9311, 3314, 1977}","{306, 647, 616}","{26, 07, 93, 86}"
12-01-2018,77077,48702,"{23011, 99759}","{78846, 68986, 58101, 27193, 66390, 09104}","{3736, 0930, 4848, 2549}","{4118, 2092, 6080, 1517, 6105, 7360}","{723, 556, 184}","{34, 83, 24, 62}"
13-01-2018,04264,96456,"{99052, 48761}","{44584, 27694, 78373, 44863, 43756, 94263}","{5759, 4607, 1138, 8062}","{6634, 6713, 2011, 2719, 0417, 9972}","{512, 351, 340}","{16, 68, 50, 37}"
14-01-2018,45021,55703,"{20737, 49866}","{12573, 08149, 30138, 42233, 81144, 58368}","{5985, 7114, 1848, 0609}","{6604, 4030, 5049, 7928, 9347, 1079}","{310, 543, 685}","{37, 32, 76, 11}"
15-01-2018,85298,66584,"{94021, 07197}","{23194, 03782, 45695, 22526, 52121, 46928}","{6912, 9705, 9023, 7075}","{3271, 8761, 0728, 8341, 3853, 0942}","{649, 301, 994}","{45, 15, 80, 46}"
16-01-2018,13766,19837,"{07606, 42385}","{47087, 56438, 91653, 69267, 03282, 21195}","{4577, 2896, 7929, 7377}","{0334, 7000, 5916, 4124, 6482, 5611}","{038, 407, 382}","{60, 20, 07, 02}"
17-01-2018,62609,53142,"{13097, 95979}","{67322, 03009, 05080, 08283, 10593, 11060}","{0834, 4106, 7269, 7377}","{5370, 7594, 2189, 8276, 9405, 3503}","{863, 905, 236}","{08, 55, 71, 28}"
18-01-2018,41201,81415,"{67252, 33787}","{09739, 48094, 15123, 29155, 23283, 06298}","{3953, 6591, 1586, 2762}","{4876, 6162, 6483, 6491, 6591, 9204}","{247, 237, 617}","{08, 04, 14, 39}"
19-01-2018,67721,19940,"{39557, 52449}","{12494, 57279, 50133, 36591, 38271, 69351}","{7372, 9108, 6444, 1631}","{7529, 6437, 8297, 7262, 9279, 3799}","{018, 975, 385}","{34, 56, 61, 31}"
20-01-2018,69463,84663,"{19391, 63562}","{57170, 27438, 08585, 72751, 97105, 53985}","{1703, 8428, 0477, 5851}","{7355, 8695, 2100, 0086, 5236, 6737}","{232, 744, 195}","{18, 28, 76, 53}"
21-01-2018,87139,63885,"{58043, 68562}","{08290, 48249, 90725, 61815, 73354, 79862}","{5708, 2001, 7276, 7111}","{4202, 5585, 4054, 6736, 7770, 7922}","{896, 943, 594}","{52, 80, 48, 71}"
