Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
01-01-2018,['91662'],['94944'],"['53625', '14837']","['85014', '21750', '31212', '54707', '54690', '54681']","['8994', '2816', '1042', '9743']","['8627', '5371', '3803', '9759', '2067', '8743']","['015', '677', '702']","['29', '32', '58', '36']"
02-01-2018,['84631'],['03488'],"['76434', '98861']","['47491', '67935', '38046', '55041', '93831', '25159']","['9998', '1217', '3188', '0786']","['8991', '2987', '4201', '0651', '5263', '2935']","['983', '806', '776']","['21', '71', '91', '40']"
03-01-2018,['11717'],['99088'],"['03178', '65789']","['74050', '56257', '98629', '31104', '38574', '57589']","['9474', '0522', '1505', '1608']","['9928', '4618', '4896', '1660', '9299', '3062']","['360', '656', '556']","['81', '72', '64', '23']"
04-01-2018,['62274'],['80320'],"['35513', '91291']","['42901', '12478', '43936', '95254', '32614', '56914']","['5295', '8197', '4181', '2833']","['2871', '1165', '1520', '5752', '2424', '2550']","['479', '833', '249']","['37', '53', '41', '28']"
05-01-2018,['18105'],['35622'],"['06473', '02567']","['41070', '62410', '16437', '44262', '24168', '84451']","['5810', '5166', '6708', '2414']","['5891', '7896', '9893', '1571', '1757', '6642']","['506', '423', '716']","['63', '83', '99', '47']"
06-01-2018,['15589'],['95113'],"['13163', '64626']","['08026', '86526', '03469', '28177', '63013', '56266']","['3610', '0096', '8283', '6875']","['6753', '9910', '8371', '1978', '3541', '6993']","['079', '337', '470']","['48', '96', '76', '32']"
07-01-2018,['13957'],['71291'],"['43584', '94421']","['56877', '88880', '15970', '56482', '53768', '52763']","['0280', '7793', '5600', '8222']","['7849', '8392', '2153', '7150', '9946', '1763']","['689', '904', '820']","['42', '29', '08', '78']"
08-01-2018,['79708'],['95955'],"['13054', '85850']","['70232', '52809', '50542', '00493', '24973', '06079']","['7310', '8360', '7553', '4681']","['2390', '1907', '6737', '5248', '9032', '3108']","['117', '693', '213']","['85', '63', '53', '36']"
09-01-2018,['81062'],['24766'],"['66584', '98350']","['33380', '39520', '84217', '69896', '07823', '16027']","['9667', '4588', '3930', '4095']","['5289', '1345', '2699', '6564', '6187', '4561']","['139', '073', '362']","['59', '64', '70', '01']"
10-01-2018,['94944'],['30400'],"['49284', '16733']","['26814', '61980', '13420', '97997', '77837', '35282']","['9476', '0548', '2413', '3274']","['1350', '3056', '8620', '5084', '2459', '7033']","['988', '433', '810']","['72', '04', '48', '45']"
