Date,Special Prize,First Prize,Second Prize
01-01-2018,91662,94944,"['53625', '14837']"
02-01-2018,84631,03488,"['76434', '98861']"
03-01-2018,11717,99088,"['03178', '65789']"
04-01-2018,62274,80320,"['35513', '91291']"
05-01-2018,18105,35622,"['06473', '02567']"
06-01-2018,15589,95113,"['13163', '64626']"
07-01-2018,13957,71291,"['43584', '94421']"
08-01-2018,79708,95955,"['13054', '85850']"
09-01-2018,81062,24766,"['66584', '98350']"
10-01-2018,94944,30400,"['49284', '16733']"
11-01-2018,88149,20508,"['61872', '45785']"
12-01-2018,77077,48702,"['23011', '99759']"
13-01-2018,04264,96456,"['99052', '48761']"
14-01-2018,45021,55703,"['20737', '49866']"
15-01-2018,85298,66584,"['94021', '07197']"
16-01-2018,13766,19837,"['07606', '42385']"
17-01-2018,62609,53142,"['13097', '95979']"
18-01-2018,41201,81415,"['67252', '33787']"
19-01-2018,67721,19940,"['39557', '52449']"
20-01-2018,69463,84663,"['19391', '63562']"
21-01-2018,87139,63885,"['58043', '68562']"
22-01-2018,24960,71816,"['48456', '65007']"
23-01-2018,33101,13699,"['06448', '53556']"
24-01-2018,41657,75242,"['48649', '15956']"
25-01-2018,60568,70326,"['72389', '18622']"
26-01-2018,82445,20544,"['05617', '05935']"
27-01-2018,31583,64721,"['89072', '75317']"
28-01-2018,98451,87408,"['35745', '74625']"
29-01-2018,75547,01072,"['40135', '21672']"
30-01-2018,93729,17440,"['82465', '46991']"
31-01-2018,74348,51973,"['34847', '46622']"
01-02-2018,40951,72911,"['28373', '96155']"
02-02-2018,61573,15068,"['81305', '17862']"
03-02-2018,37601,93185,"['27008', '13479']"
04-02-2018,52643,44138,"['86890', '84230']"
05-02-2018,36829,46404,"['47407', '99156']"
06-02-2018,68495,10348,"['13926', '28933']"
07-02-2018,74825,35277,"['53717', '95181']"
08-02-2018,68975,46361,"['13926', '61553']"
09-02-2018,18625,75580,"['67854', '78266']"
10-02-2018,93481,18583,"['46889', '08699']"
11-02-2018,49568,09737,"['10008', '32376']"
12-02-2018,40999,51919,"['60177', '45050']"
13-02-2018,56489,57966,"['67123', '59792']"
14-02-2018,83871,40506,"['12326', '92120']"
19-02-2018,81908,53145,"['90629', '69735']"
20-02-2018,38528,11234,"['77412', '48500']"
21-02-2018,29059,31161,"['87842', '53997']"
22-02-2018,69965,48034,"['58813', '25488']"
23-02-2018,61444,48915,"['81984', '67377']"
24-02-2018,00154,67018,"['55135', '56128']"
25-02-2018,64510,09008,"['71487', '36603']"
26-02-2018,50039,30294,"['04781', '85789']"
27-02-2018,36366,92352,"['88884', '12671']"
28-02-2018,71657,84700,"['16392', '62229']"
01-03-2018,94228,65600,"['73694', '73812']"
02-03-2018,05180,16830,"['52319', '88685']"
03-03-2018,90586,60072,"['28719', '26258']"
04-03-2018,16873,28319,"['27102', '94927']"
05-03-2018,98565,40560,"['13926', '55752']"
